Chain,Tier,Location,ItemActual,ItemTo,ChainID,SubPaste,Amount,Verified,LocationIndex
Vinegar>Raft Toy>Monster Tentacle [Baeza>Sokota],[Level 3],Daton,Stalactite Fragment,Headless Dragon Figurine,1,G,,V,34
Vinegar>Raft Toy>Monster Tentacle [Baeza>Sokota],[Level 4],Ajir,Headless Dragon Figurine,Faded Gold Dragon Figurine,1,G,,V,26
Vinegar>Raft Toy>Monster Tentacle [Baeza>Sokota],[Level 5],Lantinia,Faded Gold Dragon Figurine,Crow Coins,1,G,,V,66
Old Tree Bark>Stained Seagull Figurine>Filtered Drinking Water [Serca>Lerao],[Basic Item],Serca,Old Tree Bark,Stained Seagull Figurine,1,H,200,V,33
Old Tree Bark>Stained Seagull Figurine>Filtered Drinking Water [Serca>Lerao],[Level 1],Lerao,Stained Seagull Figurine,Filtered Drinking Water,1,H,,V,55
Old Tree Bark>Stained Seagull Figurine>Filtered Drinking Water [Serca>Lerao],[Level 2],Weita,Filtered Drinking Water,Skull Symbol Carpet,1,H,,V,17
Old Tree Bark>Stained Seagull Figurine>Filtered Drinking Water [Serca>Lerao],[Level 3],Almai,Skull Symbol Carpet,Marine Knights' Helm,1,H,,V,52
Old Tree Bark>Stained Seagull Figurine>Filtered Drinking Water [Serca>Lerao],[Level 4],Ancient,Marine Knights' Helm,Observatory Report,1,H,,V,5
Old Tree Bark>Stained Seagull Figurine>Filtered Drinking Water [Serca>Lerao],[Level 5],Pakio,Statue's Tear,Crow Coins,1,H,,V,67
Lead Ore>Unidentified Ancient Mural>Opulent Marble [Ephde Rune>Lema],[Basic Item],Ephde Rune,Lead Ore,Unidentified Ancient Mural,1,I,900,V,12
Lead Ore>Unidentified Ancient Mural>Opulent Marble [Ephde Rune>Lema],[Level 1],Lema,Unidentified Ancient Mural,Opulent Marble,1,I,,V,2
Lead Ore>Unidentified Ancient Mural>Opulent Marble [Ephde Rune>Lema],[Level 2],Angie,Opulent Marble,Pirates' Supply Box,1,I,,V,7
Lead Ore>Unidentified Ancient Mural>Opulent Marble [Ephde Rune>Lema],[Level 3],Shasha,Pirates' Supply Box,Amethyst Fragment,1,I,,V,57
Lead Ore>Unidentified Ancient Mural>Opulent Marble [Ephde Rune>Lema],[Level 4],Baremi,Amethyst Fragment,Taxidermied Morpho Butterfly,1,I,,V,16
Lead Ore>Unidentified Ancient Mural>Opulent Marble [Ephde Rune>Lema],[Level 5],Crow,Taxidermied Morpho Butterfly,Crow Coins,1,I,,V,68
Flax Thread>Cherry Tree Seed Pouch>Balanced Stone Pagoda [Mariveno>Teste],[Basic Item],Mariveno,Flax Thread,Cherry Tree Seed Pouch,1,J,200,V,11
Flax Thread>Cherry Tree Seed Pouch>Balanced Stone Pagoda [Mariveno>Teste],[Level 1],Teste,Cherry Tree Seed Pouch,Balanced Stone Pagoda,1,J,,V,1
Flax Thread>Cherry Tree Seed Pouch>Balanced Stone Pagoda [Mariveno>Teste],[Level 2],Ginburrey,Balanced Stone Pagoda,Torn Pirate Treasure Map,1,J,,V,39
Flax Thread>Cherry Tree Seed Pouch>Balanced Stone Pagoda [Mariveno>Teste],[Level 3],Shirna,Torn Pirate Treasure Map,Marine Knights' Spear,1,J,,V,48
Flax Thread>Cherry Tree Seed Pouch>Balanced Stone Pagoda [Mariveno>Teste],[Level 4],Cholace,Marine Knights' Spear,Opulent Coral Trinket,1,J,,V,72
Flax Thread>Cherry Tree Seed Pouch>Balanced Stone Pagoda [Mariveno>Teste],[Level 5],Rickun,Taxidermied White Caterpillar,Crow Coins,1,J,,V,69
Lead Ore>Rakeflower Seed Pouch>Narvo Sea Cucumber [Beiruwa>Arita],[Basic Item],Beiruwa,Lead Ore,Rakeflower Seed Pouch,1,K,900,V,21
Lead Ore>Rakeflower Seed Pouch>Narvo Sea Cucumber [Beiruwa>Arita],[Level 1],Arita,Rakeflower Seed Pouch,Narvo Sea Cucumber,1,K,,V,3
Lead Ore>Rakeflower Seed Pouch>Narvo Sea Cucumber [Beiruwa>Arita],[Level 2],Louruve,Narvo Sea Cucumber,Weasel Leather Coat,1,K,,V,30
Lead Ore>Rakeflower Seed Pouch>Narvo Sea Cucumber [Beiruwa>Arita],[Level 3],Riyed,Weasel Leather Coat,Green Salt Lump,1,K,,V,42
Lead Ore>Rakeflower Seed Pouch>Narvo Sea Cucumber [Beiruwa>Arita],[Level 4],Padix,Green Salt Lump,Portrait of the Ancient,1,K,,V,53
Lead Ore>Rakeflower Seed Pouch>Narvo Sea Cucumber [Beiruwa>Arita],[Level 5],Cox Pirates,Portrait of the Ancient,Crow Coins,1,K,,V,70
Grilled Bird Meat>Golden Sand>Pirate Ship Mast [Paratama>Kuit],[Basic Item],Paratama,Grilled Bird Meat,Golden Sand,1,L,600,V,18
Grilled Bird Meat>Golden Sand>Pirate Ship Mast [Paratama>Kuit],[Level 1],Kuit,Golden Sand,Pirate Ship Mast,1,L,,V,51
Grilled Bird Meat>Golden Sand>Pirate Ship Mast [Paratama>Kuit],[Level 2],Ostra,Pirate Ship Mast,Round Knife,1,L,,V,23
Grilled Bird Meat>Golden Sand>Pirate Ship Mast [Paratama>Kuit],[Level 3],Teyamal,Round Knife,Stolen Pirate Dagger,1,L,,V,49
Grilled Bird Meat>Golden Sand>Pirate Ship Mast [Paratama>Kuit],[Level 4],Theonil,Stolen Pirate Dagger,37 Year Old Herbal Wine,1,L,,V,43
Grilled Bird Meat>Golden Sand>Pirate Ship Mast [Paratama>Kuit],[Level 5],Naval,37 Year Old Herbal Wine,Crow Coins,1,L,,V,71
Bag of Muddy Water>Naval Ration>Urchin Spine [Mariveno>Racid],[Basic Item],Mariveno,Bag of Muddy Water,Naval Ration,2,A,300,V,13
Bag of Muddy Water>Naval Ration>Urchin Spine [Mariveno>Racid],[Level 1],Racid,Naval Ration,Urchin Spine,2,A,,V,26
Bag of Muddy Water>Naval Ration>Urchin Spine [Mariveno>Racid],[Level 2],Kanvera,Urchin Spine,Pirates' Supply Box,2,A,,V,20
Bag of Muddy Water>Naval Ration>Urchin Spine [Mariveno>Racid],[Level 3],Al-Naha,Pirates' Supply Box,Pirate's Key,2,A,,V,27
Bag of Muddy Water>Naval Ration>Urchin Spine [Mariveno>Racid],[Level 4],Ajir,Pirate's Key,Azure Quartz,2,A,,V,28
Bag of Muddy Water>Naval Ration>Urchin Spine [Mariveno>Racid],[Level 5],Halmad,Azure Quartz,Crow Coins,2,A,,V,60
Powder of Time>Stained Seagull Figurine>Islanders' Lunchbox [Ephde Rune>Tinberra],[Basic Item],Ephde Rune,Powder of Time,Stained Seagull Figurine,2,B,200,V,14
Powder of Time>Stained Seagull Figurine>Islanders' Lunchbox [Ephde Rune>Tinberra],[Level 1],Tinberra,Stained Seagull Figurine,Islanders' Lunchbox,2,B,,V,55
Powder of Time>Stained Seagull Figurine>Islanders' Lunchbox [Ephde Rune>Tinberra],[Level 2],Arakil,Islanders' Lunchbox,Scout Binoculars,2,B,,V,21
Powder of Time>Stained Seagull Figurine>Islanders' Lunchbox [Ephde Rune>Tinberra],[Level 3],Shasha,Scout Binoculars,Marine Knights' Helm,2,B,,V,58
Powder of Time>Stained Seagull Figurine>Islanders' Lunchbox [Ephde Rune>Tinberra],[Level 4],Iliya,Marine Knights' Helm,Taxidermied Morpho Butterfly,2,B,,V,4
Powder of Time>Stained Seagull Figurine>Islanders' Lunchbox [Ephde Rune>Tinberra],[Level 5],Kashuma,Taxidermied Morpho Butterfly,Crow Coins,2,B,,V,61
Fruit of Abundance>Raft Toy>Cron Castle Gold Coin [Paratama>Lerao],[Basic Item],Paratama,Fruit of Abundance,Raft Toy,2,C,20,V,19
Fruit of Abundance>Raft Toy>Cron Castle Gold Coin [Paratama>Lerao],[Level 1],Lerao,Raft Toy,Cron Castle Gold Coin,2,C,,V,56
Fruit of Abundance>Raft Toy>Cron Castle Gold Coin [Paratama>Lerao],[Level 2],Taramura,Cron Castle Gold Coin,Stalactite Fragment,2,C,,V,23
Fruit of Abundance>Raft Toy>Cron Castle Gold Coin [Paratama>Lerao],[Level 3],Rosevan,Stalactite Fragment,Stolen Pirate Dagger,2,C,,V,59
Fruit of Abundance>Raft Toy>Cron Castle Gold Coin [Paratama>Lerao],[Level 4],Pujara,Stolen Pirate Dagger,Statue's Tear,2,C,,V,29
Fruit of Abundance>Raft Toy>Cron Castle Gold Coin [Paratama>Lerao],[Level 5],Derko,Statue's Tear,Crow Coins,2,C,,V,64
Bloody Tree Knot>Chewy Raw Gizzard>Pirate Ship Mast [Beiruwa>Portanen],[Basic Item],Beiruwa,Bloody Tree Knot,Chewy Raw Gizzard,2,D,100,V,22
Bloody Tree Knot>Chewy Raw Gizzard>Pirate Ship Mast [Beiruwa>Portanen],[Level 1],Portanen,Chewy Raw Gizzard,Pirate Ship Mast,2,D,,V,57
Bloody Tree Knot>Chewy Raw Gizzard>Pirate Ship Mast [Beiruwa>Portanen],[Level 2],Ostra,Pirate Ship Mast,Skull Decorated Teacup,2,D,,V,24
Bloody Tree Knot>Chewy Raw Gizzard>Pirate Ship Mast [Beiruwa>Portanen],[Level 3],Orisha,Skull Decorated Teacup,Opulent Thread Spool,2,D,,V,62
Bloody Tree Knot>Chewy Raw Gizzard>Pirate Ship Mast [Beiruwa>Portanen],[Level 4],Pilava,Opulent Thread Spool,Supreme Gold Candlestick,2,D,,V,25
Bloody Tree Knot>Chewy Raw Gizzard>Pirate Ship Mast [Beiruwa>Portanen],[Level 5],Hakoven,Supreme Gold Candlestick,Crow Coins,2,D,,V,52
Noc Ore>Cherry Tree Seed Pouch>Opulent Marble [Baeza>Boa],[Basic Item],Baeza,Noc Ore,Cherry Tree Seed Pouch,2,E,900,V,49
Noc Ore>Cherry Tree Seed Pouch>Opulent Marble [Baeza>Boa],[Level 1],Boa,Cherry Tree Seed Pouch,Opulent Marble,2,E,,V,63
Noc Ore>Cherry Tree Seed Pouch>Opulent Marble [Baeza>Boa],[Level 2],Modric,Opulent Marble,Weasel Leather Coat,2,E,,V,47
Noc Ore>Cherry Tree Seed Pouch>Opulent Marble [Baeza>Boa],[Level 3],Tigris,Weasel Leather Coat,Amethyst Fragment,2,E,,V,48
Noc Ore>Cherry Tree Seed Pouch>Opulent Marble [Baeza>Boa],[Level 4],Rameda,Amethyst Fragment,Golden Fish Scale,2,E,,V,43
Noc Ore>Cherry Tree Seed Pouch>Opulent Marble [Baeza>Boa],[Level 4],Cargo,Amethyst Fragment,Cox Pirates' Journal,2,E,,V,65
Noc Ore>Cherry Tree Seed Pouch>Opulent Marble [Baeza>Boa],[Level 5],Cargo,Golden Fish Scale,Crow Coins,2,E,,V,65
Beer>Golden Sand>Filtered Drinking Water [Serca>Esfah],[Basic Item],Serca,Beer,Golden Sand,2,F,600,V,35
Beer>Golden Sand>Filtered Drinking Water [Serca>Esfah],[Level 1],Esfah,Golden Sand,Filtered Drinking Water,2,F,,V,46
Beer>Golden Sand>Filtered Drinking Water [Serca>Esfah],[Level 2],Ginburrey,Filtered Drinking Water,Skull Symbol Carpet,2,F,,V,41
Beer>Golden Sand>Filtered Drinking Water [Serca>Esfah],[Level 3],Shirna,Skull Symbol Carpet,Marine Knights' Spear,2,F,,V,50
Beer>Golden Sand>Filtered Drinking Water [Serca>Esfah],[Level 4],Theonil,Marine Knights' Spear,102 Year Old Golden Herb,2,F,,V,45
Beer>Golden Sand>Filtered Drinking Water [Serca>Esfah],[Level 4],Incomplete,Marine Knights' Spear,Observatory Report,2,F,,V,66
Beer>Golden Sand>Filtered Drinking Water [Serca>Esfah],[Level 5],Incomplete,102 Year Old Golden Herb,Crow Coins,2,F,,V,66
Wool>Roa Flower Seed Pouch>Conch Shell Ornament [Randis>Sokota],[Basic Item],Randis,Wool,Roa Flower Seed Pouch,2,G,40,V,34
Wool>Roa Flower Seed Pouch>Conch Shell Ornament [Randis>Sokota],[Level 1],Sokota,Roa Flower Seed Pouch,Conch Shell Ornament,2,G,,V,42
Wool>Roa Flower Seed Pouch>Conch Shell Ornament [Randis>Sokota],[Level 2],Dunde,Conch Shell Ornament,Rare Herb Pile,2,G,,V,38
Wool>Roa Flower Seed Pouch>Conch Shell Ornament [Randis>Sokota],[Level 3],Riyed,Rare Herb Pile,Solidified Lava,2,G,,V,44
Wool>Roa Flower Seed Pouch>Conch Shell Ornament [Randis>Sokota],[Level 4],Oben,Solidified Lava,Portrait of the Ancient,2,G,,V,37
Wool>Roa Flower Seed Pouch>Conch Shell Ornament [Randis>Sokota],[Level 4],Lantinia,Solidified Lava,Rust Repair Tool,2,G,,V,67
Wool>Roa Flower Seed Pouch>Conch Shell Ornament [Randis>Sokota],[Level 5],Lantinia,Portrait of the Ancient,Crow Coins,2,G,,V,67
Powder of Darkness>Rakeflower Seed Pouch>Narvo Sea Cucumber [Barater>Teste],[Basic Item],Barater,Powder of Darkness,Rakeflower Seed Pouch,2,H,200,V,40
Powder of Darkness>Rakeflower Seed Pouch>Narvo Sea Cucumber [Barater>Teste],[Level 1],Teste,Rakeflower Seed Pouch,Narvo Sea Cucumber,2,H,,V,1
Powder of Darkness>Rakeflower Seed Pouch>Narvo Sea Cucumber [Barater>Teste],[Level 2],Albresser,Narvo Sea Cucumber,Lopters Fishnet,2,H,,V,39
Powder of Darkness>Rakeflower Seed Pouch>Narvo Sea Cucumber [Barater>Teste],[Level 3],Teyamal,Lopters Fishnet,Old Chest with Gold Coins,2,H,,V,51
Powder of Darkness>Rakeflower Seed Pouch>Narvo Sea Cucumber [Barater>Teste],[Level 4],Ancient,Old Chest with Gold Coins,Observatory Report,2,H,,V,5
Powder of Darkness>Rakeflower Seed Pouch>Narvo Sea Cucumber [Barater>Teste],[Level 5],Pakio,Elixir of Youth,Crow Coins,2,H,,V,68
White Cedar Sap>Fertile Soil>Balanced Stone Pagoda [Staren>Kuit],[Basic Item],Staren,White Cedar Sap,Fertile Soil,2,I,600,V,33
White Cedar Sap>Fertile Soil>Balanced Stone Pagoda [Staren>Kuit],[Level 1],Kuit,Fertile Soil,Balanced Stone Pagoda,2,I,,V,53
White Cedar Sap>Fertile Soil>Balanced Stone Pagoda [Staren>Kuit],[Level 2],Louruve,Balanced Stone Pagoda,Ancient Orders,2,I,,V,32
White Cedar Sap>Fertile Soil>Balanced Stone Pagoda [Staren>Kuit],[Level 3],Daton,Ancient Orders,Seashell Deco,2,I,,V,36
White Cedar Sap>Fertile Soil>Balanced Stone Pagoda [Staren>Kuit],[Level 4],Narvo,Seashell Deco,Luxury Patterned Fabric,2,I,,V,31
White Cedar Sap>Fertile Soil>Balanced Stone Pagoda [Staren>Kuit],[Level 4],Crow,Seashell Deco,Observatory Report,2,I,,V,69
White Cedar Sap>Fertile Soil>Balanced Stone Pagoda [Staren>Kuit],[Level 5],Crow,Luxury Patterned Fabric,Crow Coins,2,I,,V,69
Feather Wolf Hide>Pirates' Gunpowder>Sea Survival Kit [Duch>Arita],[Basic Item],Duch,Feather Wolf Hide,Pirates' Gunpowder,2,J,300,V,10
Feather Wolf Hide>Pirates' Gunpowder>Sea Survival Kit [Duch>Arita],[Level 1],Arita,Pirates' Gunpowder,Sea Survival Kit,2,J,,V,3
Feather Wolf Hide>Pirates' Gunpowder>Sea Survival Kit [Duch>Arita],[Level 2],Angie,Sea Survival Kit,Blue Candle Bundle,2,J,,V,9
Feather Wolf Hide>Pirates' Gunpowder>Sea Survival Kit [Duch>Arita],[Level 3],Almai,Blue Candle Bundle,Panacea,2,J,,V,54
Feather Wolf Hide>Pirates' Gunpowder>Sea Survival Kit [Duch>Arita],[Level 4],Balvege,Panacea,Mysterious Rock,2,J,,V,8
Feather Wolf Hide>Pirates' Gunpowder>Sea Survival Kit [Duch>Arita],[Level 5],Rickun,Mysterious Rock,Crow Coins,2,J,,V,70
Powder of Crevice>Dried Blue Rose>Monster Tentacle [Eveto>Tashu],[Basic Item],Eveto,Powder of Crevice,Dried Blue Rose,2,K,200,V,11
Powder of Crevice>Dried Blue Rose>Monster Tentacle [Eveto>Tashu],[Level 1],Tashu,Dried Blue Rose,Monster Tentacle,2,K,,V,16
Powder of Crevice>Dried Blue Rose>Monster Tentacle [Eveto>Tashu],[Level 2],Marlene,Monster Tentacle,Old Hourglass,2,K,,V,6
Powder of Crevice>Dried Blue Rose>Monster Tentacle [Eveto>Tashu],[Level 3],Lisz,Old Hourglass,Headless Dragon Figurine,2,K,,V,30
Powder of Crevice>Dried Blue Rose>Monster Tentacle [Eveto>Tashu],[Level 4],Cholace,Headless Dragon Figurine,Opulent Coral Trinket,2,K,,V,7
Powder of Crevice>Dried Blue Rose>Monster Tentacle [Eveto>Tashu],[Level 5],Cox Pirates,Octagonal Box,Crow Coins,2,K,,V,71
Elder Tree Sap>Giant Fish Bone>Pirate Gold Coin [Luivano>Lema],[Basic Item],Luivano,Elder Tree Sap,Giant Fish Bone,2,L,400,V,12
Elder Tree Sap>Giant Fish Bone>Pirate Gold Coin [Luivano>Lema],[Level 1],Lema,Giant Fish Bone,Pirate Gold Coin,2,L,,V,2
Elder Tree Sap>Giant Fish Bone>Pirate Gold Coin [Luivano>Lema],[Level 2],Weita,Pirate Gold Coin,Torn Pirate Treasure Map,2,L,,V,18
Elder Tree Sap>Giant Fish Bone>Pirate Gold Coin [Luivano>Lema],[Level 3],Tulu,Torn Pirate Treasure Map,Bronze Candlestick,2,L,,V,15
Elder Tree Sap>Giant Fish Bone>Pirate Gold Coin [Luivano>Lema],[Level 4],Baremi,Bronze Candlestick,37 Year Old Herbal Wine,2,L,,V,17
Elder Tree Sap>Giant Fish Bone>Pirate Gold Coin [Luivano>Lema],[Level 5],Naval,37 Year Old Herbal Wine,Crow Coins,2,L,,V,72
Cloud Mushroom>Pirates' Gunpowder>Opulent Marble [Serca>Tashu],[Basic Item],Serca,Cloud Mushroom,Pirates' Gunpowder,3,A,1100,V,34
Cloud Mushroom>Pirates' Gunpowder>Opulent Marble [Serca>Tashu],[Level 1],Tashu,Pirates' Gunpowder,Opulent Marble,3,A,,V,16
Cloud Mushroom>Pirates' Gunpowder>Opulent Marble [Serca>Tashu],[Level 2],Ginburrey,Opulent Marble,Old Hourglass,3,A,,V,40
Cloud Mushroom>Pirates' Gunpowder>Opulent Marble [Serca>Tashu],[Level 3],Tulu,Old Hourglass,Solidified Lava,3,A,,V,15
Cloud Mushroom>Pirates' Gunpowder>Opulent Marble [Serca>Tashu],[Level 4],Theonil,Solidified Lava,Octagonal Box,3,A,,V,44
Cloud Mushroom>Pirates' Gunpowder>Opulent Marble [Serca>Tashu],[Level 5],Halmad,Octagonal Box,Crow Coins,3,A,,V,60
Fruit of Magic Power>Golden Sand>Supreme Oyster Box [Staren>Tinberra],[Basic Item],Staren,Fruit of Magic Power,Golden Sand,3,B,20,V,32
Fruit of Magic Power>Golden Sand>Supreme Oyster Box [Staren>Tinberra],[Level 1],Tinberra,Golden Sand,Supreme Oyster Box,3,B,,V,55
Fruit of Magic Power>Golden Sand>Supreme Oyster Box [Staren>Tinberra],[Level 2],Louruve,Supreme Oyster Box,Torn Pirate Treasure Map,3,B,,V,31
Fruit of Magic Power>Golden Sand>Supreme Oyster Box [Staren>Tinberra],[Level 3],Shasha,Torn Pirate Treasure Map,Stolen Pirate Dagger,3,B,,V,58
Fruit of Magic Power>Golden Sand>Supreme Oyster Box [Staren>Tinberra],[Level 4],Narvo,Stolen Pirate Dagger,102 Year Old Golden Herb,3,B,,V,30
Fruit of Magic Power>Golden Sand>Supreme Oyster Box [Staren>Tinberra],[Level 5],Kashuma,102 Year Old Golden Herb,Crow Coins,3,B,,V,61
Spirit's Leaf>Naval Ration>Sea Survival Kit [Luivano>Boa],[Basic Item],Luivano,Spirit's Leaf,Naval Ration,3,C,200,V,12
Spirit's Leaf>Naval Ration>Sea Survival Kit [Luivano>Boa],[Level 1],Boa,Naval Ration,Sea Survival Kit,3,C,,V,63
Spirit's Leaf>Naval Ration>Sea Survival Kit [Luivano>Boa],[Level 2],Kanvera,Sea Survival Kit,Pirates' Supply Box,3,C,,V,20
Spirit's Leaf>Naval Ration>Sea Survival Kit [Luivano>Boa],[Level 3],Orisha,Pirates' Supply Box,Old Chest with Gold Coins,3,C,,V,62
Spirit's Leaf>Naval Ration>Sea Survival Kit [Luivano>Boa],[Level 4],Baremi,Old Chest with Gold Coins,Statue's Tear,3,C,,V,17
Spirit's Leaf>Naval Ration>Sea Survival Kit [Luivano>Boa],[Level 5],Derko,Statue's Tear,Crow Coins,3,C,,V,64
Rough Stone>Stained Seagull Figurine>Islanders' Lunchbox [Ephde Rune>Kuit],[Basic Item],Ephde Rune,Rough Stone,Stained Seagull Figurine,3,D,200,V,14
Rough Stone>Stained Seagull Figurine>Islanders' Lunchbox [Ephde Rune>Kuit],[Level 1],Kuit,Stained Seagull Figurine,Islanders' Lunchbox,3,D,,V,52
Rough Stone>Stained Seagull Figurine>Islanders' Lunchbox [Ephde Rune>Kuit],[Level 2],Ostra,Islanders' Lunchbox,Stalactite Fragment,3,D,,V,24
Rough Stone>Stained Seagull Figurine>Islanders' Lunchbox [Ephde Rune>Kuit],[Level 3],Shirna,Stalactite Fragment,Seashell Deco,3,D,,V,49
Rough Stone>Stained Seagull Figurine>Islanders' Lunchbox [Ephde Rune>Kuit],[Level 4],Iliya,Seashell Deco,Golden Fish Scale,3,D,,V,4
Rough Stone>Stained Seagull Figurine>Islanders' Lunchbox [Ephde Rune>Kuit],[Level 5],Hakoven,Golden Fish Scale,Crow Coins,3,D,,V,51
Rough Mud Crystal>Raft Toy>Balanced Stone Pagoda [Duch>Lema],[Basic Item],Duch,Rough Mud Crystal,Raft Toy,3,E,100,V,10
